1N 4148;1
BC 337-16 ;1
74HC595;1
GS 16 ;1
74HCT541 ;1
GS 20 ;1
Z5u-2,5 100n;2
1 / 4W 10k ;1
1 / 4W 1.0k;2
1 / 4W 2.2k;4
SIL 5-4 1,0K;1
 PT 6-L 10K;2
WSL 10G;10
PFL 10 ;10
WSL 16G;2
PFL 16 ;2
SL 1X40G 2,54;1
BL 2X25G 2,54;2
JUMPER 2,54GL RT;2
AWG 28-16G;3
 AK 676-AB2;1
