Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"H13_4, H13_3, H13_2, H13",MountingHole_3mm,4,MountingHole,
