Designator,Mid X,Mid Y,Rotation,Layer
D121,87.5,-28.094783,270.0,top
D122,91.099221,-28.810713,247.5,top
D123,94.150493,-30.849507,225.0,top
D124,96.189287,-33.900779,202.5,top
D125,96.905217,-37.5,180.0,top
D126,96.189287,-41.099221,157.5,top
D127,94.150493,-44.150493,135.0,top
D128,91.099221,-46.189287,112.5,top
D13,21.918813,-12.491413,180.0,top
D14,21.202883,-16.090634,157.5,top
D15,19.164089,-19.141906,135.0,top
D16,16.112817,-21.1807,112.5,top
D17,37.5,-21.905217,90.0,top
D18,33.900779,-21.189287,67.5,top
D19,30.849507,-19.150493,45.0,top
D2,8.914375,-21.1807,67.5,top
D20,28.810713,-16.099221,22.5,top
D21,28.094783,-12.5,0.0,top
D22,28.810713,-8.900779,337.5,top
D23,30.849507,-5.849507,315.0,top
D24,33.900779,-3.810713,292.5,top
D25,37.5,-3.094783,270.0,top
D26,41.099221,-3.810713,247.5,top
D27,44.150493,-5.849507,225.0,top
D28,46.189287,-8.900779,202.5,top
D29,46.905217,-12.5,180.0,top
D3,5.863103,-19.141906,45.0,top
D30,46.189287,-16.099221,157.5,top
D31,44.150493,-19.150493,135.0,top
D32,41.099221,-21.189287,112.5,top
D33,62.5,-21.905217,90.0,top
D34,58.900779,-21.189287,67.5,top
D35,55.849507,-19.150493,45.0,top
D36,53.810713,-16.099221,22.5,top
D37,53.094783,-12.5,0.0,top
D38,53.810713,-8.900779,337.5,top
D39,55.849507,-5.849507,315.0,top
D4,3.824309,-16.090634,22.5,top
D40,58.900779,-3.810713,292.5,top
D41,62.5,-3.094783,270.0,top
D42,66.099221,-3.810713,247.5,top
D43,69.150493,-5.849507,225.0,top
D44,71.189287,-8.900779,202.5,top
D45,71.905217,-12.5,180.0,top
D46,71.189287,-16.099221,157.5,top
D47,69.150493,-19.150493,135.0,top
D48,66.099221,-21.189287,112.5,top
D49,87.5,-21.905217,90.0,top
D5,3.108379,-12.491413,0.0,top
D50,83.900779,-21.189287,67.5,top
D501,12.5,37.5,0.0,top
D502,37.5,37.5,0.0,top
D503,62.5,37.5,0.0,top
D504,87.5,37.5,0.0,top
D505,12.5,12.5,0.0,top
D506,37.5,12.5,0.0,top
D507,62.5,12.5,0.0,top
D508,87.5,12.5,0.0,top
D51,80.849507,-19.150493,45.0,top
D52,78.810713,-16.099221,22.5,top
D53,78.094783,-12.5,0.0,top
D54,78.810713,-8.900779,337.5,top
D55,80.849507,-5.849507,315.0,top
D56,83.900779,-3.810713,292.5,top
D57,87.5,-3.094783,270.0,top
D58,91.099221,-3.810713,247.5,top
D59,94.150493,-5.849507,225.0,top
D6,3.824309,-8.892192,337.5,top
D60,96.189287,-8.900779,202.5,top
D61,96.905217,-12.5,180.0,top
D62,96.189287,-16.099221,157.5,top
D63,94.150493,-19.150493,135.0,top
D64,91.099221,-21.189287,112.5,top
D65,12.5,-46.905217,90.0,top
D66,8.900779,-46.189287,67.5,top
D67,5.849507,-44.150493,45.0,top
D68,3.810713,-41.099221,22.5,top
D69,3.094783,-37.5,0.0,top
D7,5.863103,-5.84092,315.0,top
D70,3.810713,-33.900779,337.5,top
D71,5.849507,-30.849507,315.0,top
D72,8.900779,-28.810713,292.5,top
D73,12.5,-28.094783,270.0,top
D74,16.099221,-28.810713,247.5,top
D75,19.150493,-30.849507,225.0,top
D76,21.189287,-33.900779,202.5,top
D77,21.905217,-37.5,180.0,top
D78,21.189287,-41.099221,157.5,top
D79,19.150493,-44.150493,135.0,top
D8,8.914375,-3.802126,292.5,top
D80,16.099221,-46.189287,112.5,top
D81,37.5,-46.9,90.0,top
D82,33.900779,-46.18407,67.5,top
