Designator,Mid X,Mid Y,Rotation,Layer
D128,191.099221,-146.189287,112.5,top
D13,121.918813,-112.491413,180.0,top
D14,121.202883,-116.090634,157.5,top
D15,119.164089,-119.141906,135.0,top
D16,116.112817,-121.1807,112.5,top
D17,137.5,-121.905217,90.0,top
D18,133.900779,-121.189287,67.5,top
D19,130.849507,-119.150493,45.0,top
D2,108.914375,-121.1807,67.5,top
D20,128.810713,-116.099221,22.5,top
D21,128.094783,-112.5,0.0,top
D22,128.810713,-108.900779,337.5,top
D23,130.849507,-105.849507,315.0,top
D24,133.900779,-103.810713,292.5,top
D25,137.5,-103.094783,270.0,top
D26,141.099221,-103.810713,247.5,top
D27,144.150493,-105.849507,225.0,top
D28,146.189287,-108.900779,202.5,top
D29,146.905217,-112.5,180.0,top
D3,105.863103,-119.141906,45.0,top
D30,146.189287,-116.099221,157.5,top
D31,144.150493,-119.150493,135.0,top
D32,141.099221,-121.189287,112.5,top
D33,162.5,-121.905217,90.0,top
D34,158.900779,-121.189287,67.5,top
D35,155.849507,-119.150493,45.0,top
D36,153.810713,-116.099221,22.5,top
D37,153.094783,-112.5,0.0,top
D38,153.810713,-108.900779,337.5,top
D39,155.849507,-105.849507,315.0,top
D4,103.824309,-116.090634,22.5,top
D40,158.900779,-103.810713,292.5,top
D41,162.5,-103.094783,270.0,top
D42,166.099221,-103.810713,247.5,top
D43,169.150493,-105.849507,225.0,top
D44,171.189287,-108.900779,202.5,top
D45,171.905217,-112.5,180.0,top
D46,171.189287,-116.099221,157.5,top
D47,169.150493,-119.150493,135.0,top
D48,166.099221,-121.189287,112.5,top
D49,187.5,-121.905217,90.0,top
D5,103.108379,-112.491413,0.0,top
D50,183.900779,-121.189287,67.5,top
D51,180.849507,-119.150493,45.0,top
D52,178.810713,-116.099221,22.5,top
D53,178.094783,-112.5,0.0,top
D54,178.810713,-108.900779,337.5,top
D55,180.849507,-105.849507,315.0,top
D56,183.900779,-103.810713,292.5,top
D57,187.5,-103.094783,270.0,top
D58,191.099221,-103.810713,247.5,top
D59,194.150493,-105.849507,225.0,top
D6,103.824309,-108.892192,337.5,top
D60,196.189287,-108.900779,202.5,top
D61,196.905217,-112.5,180.0,top
D62,196.189287,-116.099221,157.5,top
D63,194.150493,-119.150493,135.0,top
D64,191.099221,-121.189287,112.5,top
D65,112.5,-146.905217,90.0,top
D66,108.900779,-146.189287,67.5,top
D67,105.849507,-144.150493,45.0,top
D68,103.810713,-141.099221,22.5,top
D69,103.094783,-137.5,0.0,top
D7,105.863103,-105.84092,315.0,top
D70,103.810713,-133.900779,337.5,top
D71,105.849507,-130.849507,315.0,top
D72,108.900779,-128.810713,292.5,top
D73,112.5,-128.094783,270.0,top
D74,116.099221,-128.810713,247.5,top
D75,119.150493,-130.849507,225.0,top
D76,121.189287,-133.900779,202.5,top
D77,121.905217,-137.5,180.0,top
D78,121.189287,-141.099221,157.5,top
D79,119.150493,-144.150493,135.0,top
D8,108.914375,-103.802126,292.5,top
D80,116.099221,-146.189287,112.5,top
D81,137.5,-146.9,90.0,top
D82,133.900779,-146.18407,67.5,top
D83,130.849507,-144.145276,45.0,top
D84,128.810713,-141.094004,22.5,top
D85,128.094783,-137.494783,0.0,top
D86,128.810713,-133.895562,337.5,top
D87,130.849507,-130.84429,315.0,top
D88,133.900779,-128.805496,292.5,top
D89,137.5,-128.089566,270.0,top
D9,112.513596,-103.086196,270.0,top
D90,141.099221,-128.805496,247.5,top
D91,144.150493,-130.84429,225.0,top
D92,146.189287,-133.895562,202.5,top
D93,146.905217,-137.494783,180.0,top
D94,146.189287,-141.094004,157.5,top
D95,144.150493,-144.145276,135.0,top
D96,141.099221,-146.18407,112.5,top
D97,162.5,-146.905217,90.0,top
D98,158.900779,-146.189287,67.5,top
D99,155.849507,-144.150493,45.0,top
J11,155.08,-286.5,90.0,bottom
J12,155.2,-303.0,90.0,bottom
J13,155.24,-268.5,90.0,bottom
J14,101.75,-207.525,180.0,top
J15,198.25,-207.525,180.0,top
J20,102.1,-182.1,270.0,bottom
J21,185.2,-182.1,270.0,bottom
J22,114.8,-227.9,90.0,bottom
J23,197.9,-227.9,90.0,bottom
J24,104.75,-207.52,0.0,bottom
J25,195.25,-207.525,0.0,bottom
J30,102.1,-262.1,90.0,top
J31,185.2,-262.1,90.0,top
J32,114.8,-307.9,270.0,top
J33,197.9,-307.9,270.0,top
J34,104.75,-287.525,180.0,top
J35,195.25,-287.525,180.0,top
J4,101.75,-127.54,0.0,bottom
J44,113.7525,-279.84,180.0,bottom
J45,186.1725,-290.0,0.0,bottom
J5,198.25,-127.54,0.0,bottom
SW1,107.6,-203.0,0.0,top
SW2,132.5,-203.0,0.0,top
SW3,157.5,-203.0,0.0,top
SW4,182.5,-202.9,0.0,top
SW5,117.5,-207.1,180.0,top
SW6,142.5,-207.0,180.0,top
SW7,167.5,-207.0,180.0,top
SW8,192.5,-207.0,180.0,top
