Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
"H11_8, H11_7, H11_6, H11_5, H11_4, H11_3, H11_2, H11, H13_4, H13_3, H13_2, H13",MountingHole_3mm,12,MountingHole,
