Designator,Footprint,Quantity,Value,LCSC Part #
C0,0402,1,100nf,C1525
"C1, C2, C3, C4, C5, C6, C7",CAPC1005X55N,7,100nf,C1525
"D0, D1, D2, D3, D4, D5, D6, D7",SK6812-MINI-E,8,SK6812MINI-E,C5149201
"H11, H12, H13, H14",MountingHole_3mm,4,MountingHole,
"J1, J2, J3",IDC-Header_2x05_P2.54mm_Vertical,3,IDC-Header_2x05_P2.54mm_Vertical,
"SW0, SW1, SW2, SW3, SW4, SW5, SW6, SW7",Cherry-MX-Low-Profile,8,CHERRY MX1B-52NA,
